iter	Passed	Remaining
1288	7479	765
1289	7485	760
1290	7491	754
1291	7498	748
1292	7504	742
1293	7510	737
1294	7516	731
1295	7522	725
1296	7528	719
1297	7534	713
1298	7539	708
1299	7545	702
1300	7551	696
1301	7556	690
1302	7562	684
1303	7568	679
1304	7574	673
1305	7579	667
1306	7585	661
1307	7590	655
1308	7596	650
1309	7602	644
1310	7608	638
1311	7614	632
1312	7619	626
1313	7625	620
1314	7631	615
1315	7636	609
1316	7642	603
1317	7648	597
1318	7654	591
1319	7660	586
1320	7666	580
1321	7672	574
1322	7677	568
1323	7683	562
1324	7689	557
1325	7695	551
1326	7700	545
1327	7706	539
1328	7711	533
1329	7717	528
1330	7723	522
1331	7728	516
1332	7734	510
1333	7739	504
1334	7746	499
1335	7751	493
1336	7757	487
1337	7762	481
1338	7768	475
1339	7774	469
1340	7780	464
1341	7785	458
1342	7790	452
1343	7796	446
1344	7803	440
1345	7808	435
1346	7814	429
1347	7819	423
1348	7825	417
1349	7827	411
1350	7833	405
1351	7838	400
1352	7843	394
1353	7849	388
1354	7855	382
1355	7861	376
1356	7867	371
1357	7872	365
1358	7877	359
1359	7883	353
1360	7888	347
1361	7894	341
1362	7900	336
1363	7906	330
1364	7911	324
1365	7917	318
1366	7923	312
1367	7928	307
1368	7934	301
1369	7940	295
1370	7946	289
1371	7952	284
1372	7957	278
1373	7963	272
1374	7969	266
1375	7975	260
1376	7981	255
1377	7987	249
1378	7992	243
1379	7998	237
1380	8004	231
1381	8010	226
1382	8015	220
1383	8021	214
1384	8026	208
1385	8032	202
1386	8037	197
1387	8043	191
1388	8049	185
1389	8055	179
1390	8060	173
1391	8066	168
1392	8071	162
1393	8077	156
1394	8084	150
1395	8091	144
1396	8097	139
1397	8103	133
1398	8109	127
1399	8116	121
1400	8122	115
1401	8129	110
1402	8134	104
1403	8140	98
1404	8147	92
1405	8153	86
1406	8159	81
1407	8166	75
1408	8171	69
1409	8178	63
1410	8184	58
1411	8191	52
1412	8196	46
1413	8202	40
1414	8207	34
1415	8213	29
1416	8219	23
1417	8224	17
1418	8230	11
1419	8236	5
1420	8241	0
